CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Beejiputti B.O,532322,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.0113611,84.6902500
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kistupuram B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kurudu B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Santhabommali B.O,532195,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5185277,84.1520550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Cheepi B.O,532242,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8715277,84.4615110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Killoyicolony B.O,532242,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8715277,84.4615110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kothapalli B.O,532242,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8715200,84.4615110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Gonapaputtuga B.O,532292,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9517770,84.6317220
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Jada B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1422000,18.0577000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Boddam B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1421000,18.0574000
Andhra Pradesh Circle,Visakhapatnam Region,Parvathipuram Division,Chandraiahpeta B.O,532148,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,83.1425000,18.0579000
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kusumapuram B.O,532292,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9517770,84.6317220
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Marripadu B.O,532215,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7695566,84.1688611
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Mulapeta B.O,532211,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4858,84.164
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Goppili B.O,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7745000,84.4101110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Karajada B.O,532221,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7745000,84.4101110
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Borubhadra B.O,532218,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6661110,84.3686380
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Mandarada B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517770
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Vasudevapatnam B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517770
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Vungarada B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517700
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Ambada B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Arasada B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bhagempeta B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pedasirlam B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Sarasanapalli B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Talada B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4554160,83.7517770
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,KR Puram BO,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.4747,83.7996
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Madduvalasa B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
